pv_s_scale,svc_q_scale,cap_total_mvar,n_scenarios,pr_violation_any,pr_pf_fail_any,loss_mean_pos,capex,pass,feasible
1.331578947368421,1.1210526315789473,0.75,30,0.0,0.0,2.556815906196861,124.13157963752747,refined,1
1.331578947368421,1.0789473684210527,0.75,30,0.0,0.0,2.487077403082135,122.02631974220276,refined,1
1.331578947368421,1.0368421052631578,0.75,30,0.0,0.0,2.4219991305919444,119.92105388641357,refined,1
1.331578947368421,0.9947368421052631,0.75,30,0.0,0.0,2.3616339163191595,117.81579101085663,refined,1
1.331578947368421,0.9526315789473684,0.75,30,0.03333333333333333,0.0,1.9968815923408847,115.71052813529968,refined,0
1.331578947368421,1.4578947368421051,0.75,30,0.0,0.0,3.2819171679497705,140.97368264198303,refined,1
1.331578947368421,0.9105263157894736,0.75,30,0.03333333333333333,0.0,1.2005378262677302,113.60526525974274,refined,0
1.3736842105263158,1.289473684210526,0.75,30,0.0,0.0,2.9002821372419465,134.65789103507996,refined,1
1.3736842105263158,1.3736842105263158,0.75,30,0.0,0.0,3.090611560537607,138.86841678619385,refined,1
1.4578947368421051,0.8263157894736841,0.75,30,0.03333333333333333,0.0,1.1863809571268227,115.7105221748352,refined,0
1.4578947368421051,0.7842105263157895,0.75,30,0.03333333333333333,0.0,1.1673387202958851,113.60525929927826,refined,0
1.4578947368421051,0.7421052631578947,0.75,30,0.03333333333333333,0.0,1.1509317639546195,111.49999642372131,refined,0
0.9526315789473684,0.8684210526315789,0.75,30,0.03333333333333333,0.0,1.0925410146890888,92.55263352394104,refined,0
1.4157894736842105,1.5,0.75,30,0.0,0.0,3.4276099321990903,147.2894742488861,refined,1
1.4157894736842105,1.4578947368421051,0.75,30,0.0,0.0,3.316810691516453,145.18420839309692,refined,1
1.4157894736842105,1.4157894736842105,0.75,30,0.0,0.0,3.210477220685841,143.07894849777222,refined,1
1.4157894736842105,1.3736842105263158,0.75,30,0.0,0.0,3.108652073139528,140.97368264198303,refined,1
1.4157894736842105,1.331578947368421,0.75,30,0.0,0.0,3.0113744238635527,138.86842274665833,refined,1
