candidate_id,scenario_index,day_index,t0,pv_s_scale,svc_q_scale,cap_total_mvar,risk,under_steps,over_steps,pf_fail,daily_loss_mwh,vmin,vmax,solve_total_seconds,inherited_steps,direct_fallback_steps
8,16,151,14496,0.75,0.75,0.0,0,0,0,0,1.2671999992945382,0.958535599184635,1.020063089762225,21.097866199997952,29,0
0,17,164,15744,0.225,0.0,0.0,1,0,0,1,1.7076692704995415,0.951000000817289,1.0198090141787577,20.189090100000612,0,0
1,17,164,15744,0.3,0.0,0.0,0,0,0,0,1.7655428557690338,0.9510000046482056,1.0246726094851095,21.226473700080533,26,0
2,17,164,15744,0.3,0.1875,0.0,0,0,0,0,1.2968707983491177,0.9559893410262759,1.0234352156768405,21.081200099928537,0,0
3,17,164,15744,0.3,0.375,0.0,0,0,0,0,1.2341195377495462,0.9601499693986395,1.0227784833136095,20.627725799829932,0,0
4,17,164,15744,0.45,0.375,0.0,0,0,0,0,1.2335717238864068,0.9595395218776639,1.0227774736594983,20.871691399952397,40,0
5,17,164,15744,0.45,0.5625,0.0,0,0,0,0,1.2334221074128087,0.9595168356621049,1.0227439410619201,21.457540899777086,24,0
6,17,164,15744,0.45,0.75,0.0,0,0,0,0,1.2334373583230844,0.9594904542253944,1.0227437419611176,20.532149899896467,36,0
7,17,164,15744,0.6,0.75,0.0,0,0,0,0,1.2334416404493966,0.9594904542253944,1.0227437419611176,20.728025199932745,42,0
8,17,164,15744,0.75,0.75,0.0,0,0,0,0,1.2334436820026302,0.9594904542253944,1.0227625721370812,21.009655499830842,32,0
0,18,167,16032,0.225,0.0,0.0,0,0,0,0,1.1194335942362474,0.954013506924419,1.0129188975708716,20.699509399943054,0,0
1,18,167,16032,0.3,0.0,0.0,0,0,0,0,1.119015652859731,0.953801971160352,1.0130304258795881,21.03466899995692,45,0
2,18,167,16032,0.3,0.1875,0.0,0,0,0,0,0.8839324600127714,0.9646065174457789,1.011959922762289,20.919041000161087,0,0
3,18,167,16032,0.3,0.375,0.0,0,0,0,0,0.8588510369971261,0.9660145551378579,1.011637231926212,20.396067700145068,0,0
4,18,167,16032,0.45,0.375,0.0,0,0,0,0,0.858436363640178,0.9658634067882452,1.0116231922605743,20.743063899688423,27,0
5,18,167,16032,0.45,0.5625,0.0,0,0,0,0,0.858406907854681,0.9660077246323311,1.0116123575612967,21.055120099976193,24,0
6,18,167,16032,0.45,0.75,0.0,0,0,0,0,0.8584533381692777,0.9657981081567597,1.0116123575612967,20.656404100067448,49,0
7,18,167,16032,0.6,0.75,0.0,0,0,0,0,0.8584094068465449,0.9659027529973283,1.0116123575612967,20.614028999902075,35,0
8,18,167,16032,0.75,0.75,0.0,0,0,0,0,0.8584094565412531,0.9660077246323311,1.0116887981816038,20.569309200160205,27,0
0,20,179,17184,0.225,0.0,0.0,1,0,0,1,0.6617147124340121,0.9510000044748135,1.0009770233111657,8.757727000018349,0,0
1,20,179,17184,0.3,0.0,0.0,1,0,0,1,1.6478137171073486,0.9510000009636382,1.0319364569660063,14.490879099816084,7,0
2,20,179,17184,0.3,0.1875,0.0,0,0,0,0,1.5049079033813502,0.9517939323208625,1.0041230900690925,21.525141399964923,0,0
3,20,179,17184,0.3,0.375,0.0,0,0,0,0,1.431128694923899,0.9582200529047814,1.0040541583121543,21.53249230000074,0,0
4,20,179,17184,0.45,0.375,0.0,0,0,0,0,1.4307743968870337,0.9578019056779954,1.0040526441458908,21.41962549998425,40,0
5,20,179,17184,0.45,0.5625,0.0,0,0,0,0,1.4295313277510573,0.9576561962463577,1.0040508644329162,21.77300800010562,28,0
6,20,179,17184,0.45,0.75,0.0,0,0,0,0,1.4295086744054488,0.9575419000912403,1.004051944604439,21.385029599943664,33,0
7,20,179,17184,0.6,0.75,0.0,0,0,0,0,1.429515370651721,0.9576770672722285,1.0040514811850068,21.282815299811773,31,0
8,20,179,17184,0.75,0.75,0.0,0,0,0,0,1.4295393305937734,0.9577133840392386,1.0040517234593083,21.731376600044314,28,0
0,21,182,17472,0.225,0.0,0.0,0,0,0,0,1.017488947682346,0.9542530952766564,1.0050025589242109,20.551456399902236,0,0
1,21,182,17472,0.3,0.0,0.0,0,0,0,0,1.0167856046631751,0.9540518728573208,1.0050127735402983,20.991413800045848,12,0
2,21,182,17472,0.3,0.1875,0.0,0,0,0,0,0.8041473377686744,0.9643556925746911,1.0049402975761628,21.077948700025445,0,0
3,21,182,17472,0.3,0.375,0.0,0,0,0,0,0.7884353951079904,0.964235796403399,1.00490261578005,20.444031999795698,0,0
4,21,182,17472,0.45,0.375,0.0,0,0,0,0,0.7880784545901057,0.9642245621370067,1.0049082915450382,21.065078199928394,12,0
5,21,182,17472,0.45,0.5625,0.0,0,0,0,0,0.7878503819343786,0.9642245621370067,1.0049077986272765,21.047430900041945,23,0
6,21,182,17472,0.45,0.75,0.0,0,0,0,0,0.7877694997421725,0.9642245621370067,1.0049097594816523,20.27717600017786,46,0
7,21,182,17472,0.6,0.75,0.0,0,0,0,0,0.7877470127777267,0.9642245621370067,1.0049116033549188,20.469405100040603,38,0
8,21,182,17472,0.75,0.75,0.0,0,0,0,0,0.7877283516275866,0.9642245621370067,1.0049120586738725,20.66859819999081,32,0
0,22,186,17856,0.225,0.0,0.0,1,0,0,1,1.0877611507944005,0.9510000026232932,1.0218890107089365,13.012485300103435,0,0
