seed,method,execution,candidate_id,scenario_index,daily_loss_mwh_learned,risk_learned,pf_fail_learned,daily_loss_mwh_opf,risk_opf,pf_fail_opf,loss_gap_mwh,relative_loss_gap_percent
44,wg,raw,105,6,1.4238590936720306,0,0,1.3539876946049323,0,0,0.06987139906709827,5.160416106106888
44,wg,raw,105,7,0.8223718731624409,0,0,0.8039050417211643,0,0,0.018466831441276588,2.2971408913842635
44,wg,raw,105,8,1.2915302400865984,0,0,1.23644667562746,0,0,0.055083564459138534,4.45498908646305
44,wg,raw,105,9,0.8721555071541011,0,0,0.8534526698151408,0,0,0.018702837338960276,2.1914322844653285
44,wg,raw,105,10,0.8476623998372113,0,0,0.8308294426605012,0,0,0.016832957176710073,2.02604244775043
44,wg,raw,105,11,1.33938313519657,0,0,1.2694237193612543,0,0,0.06995941583531562,5.511116167777111
44,wg,raw,105,12,1.6241788418202052,0,0,1.5071587524158685,0,0,0.11702008940433672,7.764284234607789
44,wg,raw,105,13,1.880329473155741,0,0,1.7244028188661646,0,0,0.1559266542895763,9.042356726840758
44,wg,raw,105,14,1.8056884677924765,0,0,1.6563826471808891,0,0,0.14930582061158737,9.013969137246225
44,wg,raw,105,15,2.1239524989723684,0,0,1.914671366724867,0,0,0.20928113224750144,10.930394420922815
44,wg,raw,105,16,1.5695741777725571,0,0,1.441715732277228,0,0,0.1278584454953291,8.868492077378757
44,wg,raw,267,0,0.8762094376783511,0,0,0.8486609029840949,0,0,0.02754853469425622,3.2461180428353633
44,wg,raw,267,1,2.6192938053592867,0,0,2.3300496823289927,0,0,0.289244123030294,12.413646164882676
44,wg,raw,267,2,1.556391083599706,0,0,1.4455050333792088,0,0,0.11088605022049713,7.671094023192354
44,wg,raw,267,3,2.315113574111804,0,0,2.0751278359476,0,0,0.23998573816420388,11.564865258270473
44,wg,raw,267,4,1.6379617138821774,0,0,1.511849703811168,0,0,0.12611201007100936,8.341570577624092
44,wg,raw,267,5,0.8306817975454575,0,0,0.8042536386869326,0,0,0.026428158858524897,3.286047782347982
44,wg,raw,267,6,1.3822973341469889,0,0,1.3147205062067502,0,0,0.06757682794023867,5.140014749995212
44,wg,raw,267,7,0.8021899453454202,0,0,0.7792415945363826,0,0,0.022948350809037565,2.9449596851527042
44,wg,raw,267,8,1.2471889306543928,0,0,1.2010236742826643,0,0,0.046165256371728525,3.8438256764007304
44,wg,raw,267,9,0.8491752258751313,0,0,0.826957410982471,0,0,0.02221781489266028,2.68669396967666
