environment,step,actor_inference_ms,ac_execution_ms,total_ms
69,180,0.2123,19.907,20.1201
69,181,0.1903,20.4611,20.6525
69,182,0.1882,20.768,20.9573
69,183,0.257,20.8902,21.1487
69,184,0.1964,20.2458,20.4435
69,185,0.1706,20.1779,20.3494
69,186,0.2501,103.0213,103.2728
69,187,0.2254,21.3099,21.5364
69,188,0.248,20.0523,20.3017
69,189,0.2353,19.5519,19.7886
69,190,0.1458,20.0595,20.2062
69,191,0.1707,20.0647,20.2365
118,0,0.0485,22.461,22.5108
118,1,0.2053,21.5848,21.7913
118,2,0.2139,22.654,22.8692
118,3,0.1859,22.3116,22.4984
118,4,0.183,22.2973,22.4814
118,5,0.2017,22.2198,22.4225
118,6,0.2646,22.4172,22.6834
118,7,0.1981,21.5161,21.7152
118,8,0.1499,22.8557,23.0068
118,9,0.2045,21.9569,22.1623
118,10,0.1847,21.56,21.7457
118,11,0.1634,22.1824,22.3469
118,12,0.2366,22.2076,22.4455
118,13,0.1945,22.389,22.5845
118,14,0.1789,22.0967,22.2771
118,15,0.2139,22.9655,23.1804
118,16,0.2331,21.723,21.9573
118,17,0.2192,22.5281,22.7488
118,18,0.2341,22.5758,22.8109
118,19,0.2454,21.4069,21.654
118,20,0.2098,22.1,22.3108
118,21,0.1766,21.4848,21.6626
118,22,0.2266,22.0968,22.325
118,23,0.2742,21.6085,21.8841
118,24,0.1898,21.9362,22.1271
118,25,0.1879,21.3656,21.5545
118,26,0.1947,22.8867,23.0829
118,27,0.1935,22.0794,22.2739
118,28,0.2165,22.3993,22.6172
118,29,0.1783,21.5864,21.7659
118,30,0.2232,21.9351,22.1598
118,31,0.161,21.9703,22.1324
118,32,0.2772,22.6441,22.923
118,33,0.2233,22.7852,23.0096
118,34,0.2402,22.1079,22.3494
118,35,0.1898,21.65,21.8409
118,36,0.1804,21.7991,21.9807
118,37,0.1776,22.1966,22.3754
118,38,0.211,22.1568,22.3688
118,39,0.2101,22.0865,22.2976
118,40,0.2188,21.863,22.0829
118,41,0.4292,22.6469,23.0776
118,42,0.2165,21.634,21.8515
118,43,0.1904,21.6127,21.804
118,44,0.1775,21.7239,21.9024
118,45,0.2381,21.4272,21.6666
118,46,0.2119,21.8453,22.0587
118,47,0.1883,22.1958,22.3854
118,48,0.1952,21.9377,22.134
118,49,0.1866,21.5161,21.7038
118,50,0.2244,21.8777,22.1034
118,51,0.1861,22.305,22.4923
118,52,0.2029,21.3742,21.578
118,53,0.1866,21.6933,21.8812
118,54,0.1823,21.924,22.1074
118,55,0.1855,21.4125,21.599
118,56,0.277,21.9783,22.2568
118,57,0.22,21.8338,22.0552
118,58,0.1751,21.677,21.8532
118,59,0.2056,21.8319,22.039
118,60,0.2027,21.9813,22.1849
118,61,0.2266,21.9589,22.1866
118,62,0.2238,22.532,22.7569
118,63,0.2312,22.0524,22.2847
118,64,0.2156,21.1872,21.4039
118,65,0.1946,22.1204,22.3159
118,66,0.3857,21.8473,22.2343
118,67,0.2068,21.3552,21.5632
118,68,0.2404,21.5923,21.834
118,69,0.2026,22.3884,22.5921
118,70,0.1836,21.5029,21.6875
118,71,0.2595,22.0393,22.3003
118,72,0.1892,21.9191,22.1092
118,73,0.1978,21.6085,21.8073
118,74,0.1842,22.7864,22.9716
118,75,0.2076,21.7777,21.9863
118,76,0.2411,21.8756,22.1178
118,77,0.2084,22.6432,22.8526
118,78,0.1985,22.3672,22.5668
118,79,0.2264,21.8863,22.1138
118,80,0.2053,22.4995,22.7058
118,81,0.1896,21.679,21.8697
118,82,0.221,22.1317,22.3536
118,83,0.2088,22.5072,22.7172
118,84,0.2257,21.5288,21.7556
118,85,0.2897,22.3816,22.6727
118,86,0.229,22.7042,22.9345
118,87,0.3203,20.6388,20.9602
118,88,0.1715,19.9638,20.1362
118,89,0.1555,19.9859,20.1424
118,90,0.1461,20.6702,20.8172
118,91,0.2431,21.0132,21.2574
118,92,0.187,21.3691,21.5572
118,93,0.16,22.0548,22.2158
118,94,0.1813,21.3378,21.52
118,95,0.1654,21.9277,22.0942
118,96,0.2511,21.347,21.5996
118,97,0.1787,22.237,22.4168
118,98,0.2027,21.8154,22.0192
118,99,0.2078,22.0165,22.2253
118,100,0.1557,22.5065,22.6632
118,101,0.2071,22.2053,22.4135
118,102,0.199,21.5084,21.7085
118,103,0.1988,21.5826,21.7825
118,104,0.1889,21.7903,21.9803
118,105,0.222,21.3062,21.5295
118,106,0.2696,22.7783,23.0495
118,107,0.2106,21.7804,21.9921
118,108,0.2254,22.4384,22.665
118,109,0.2255,21.5967,21.8233
118,110,0.2023,21.6143,21.8176
118,111,0.1993,21.8531,22.0534
118,112,0.1911,21.736,21.928
118,113,0.1772,22.2428,22.4211
118,114,0.2106,21.4921,21.7037
118,115,0.2354,21.6907,21.9274
118,116,0.182,21.3739,21.557
118,117,0.16,21.9473,22.1084
118,118,0.1603,22.1382,22.2996
118,119,0.2409,22.7177,22.96
118,120,0.2174,21.0421,21.2607
118,121,0.1674,21.5822,21.7507
118,122,0.299,21.4766,21.777
118,123,0.2038,20.7126,20.9179
118,124,0.207,21.4609,21.669
118,125,0.2097,20.9701,21.1806
118,126,0.1875,20.8856,21.0741
118,127,0.1809,22.1221,22.3041
118,128,0.224,22.3606,22.5859
118,129,0.2145,22.4522,22.6679
118,130,0.2121,22.1275,22.3408
118,131,0.2108,21.9401,22.1522
118,132,0.2254,21.4048,21.6316
118,133,0.1839,22.5457,22.7307
118,134,0.1801,21.5657,21.7468
118,135,0.1895,21.8103,22.001
118,136,0.1762,21.7266,21.9042
118,137,0.2442,21.5026,21.748
118,138,0.1825,21.5159,21.6995
118,139,0.1628,22.3688,22.5326
118,140,0.175,21.6784,21.8545
118,141,0.1882,22.0509,22.2401
118,142,0.2234,22.4789,22.7036
118,143,0.2209,23.1262,23.3482
118,144,0.3864,25.1525,25.5405
118,145,0.2414,23.2777,23.5202
118,146,0.2307,21.3637,21.5955
118,147,0.2325,20.7328,20.9665
118,148,0.2449,21.7094,21.9558
118,149,0.2132,21.2033,21.4176
118,150,0.2475,21.4228,21.6718
118,151,0.1738,22.4498,22.6249
118,152,0.2294,22.5285,22.7589
118,153,0.2173,22.762,22.9804
118,154,0.2357,21.6701,21.9068
118,155,0.219,21.4675,21.6875
118,156,0.2495,21.0962,21.3472
118,157,0.1624,21.4645,21.6279
118,158,0.1952,21.9954,22.1918
118,159,0.2105,21.3188,21.5303
118,160,0.1755,22.2005,22.3771
118,161,0.1872,21.3794,21.5677
118,162,0.1971,21.4044,21.6024
118,163,0.183,21.8862,22.0704
118,164,0.1982,21.5923,21.7914
118,165,0.2738,22.1679,22.4429
118,166,0.1729,22.1499,22.3239
118,167,0.2175,22.4404,22.659
118,168,0.284,22.2984,22.5838
118,169,0.1768,22.2717,22.4496
118,170,0.2256,21.5821,21.8088
118,171,0.21,20.9033,21.1144
118,172,0.174,21.6464,21.8213
118,173,0.1737,22.0058,22.1805
118,174,0.251,21.9125,22.165
118,175,0.2141,22.2502,22.4654
118,176,0.2248,22.7817,23.0076
118,177,0.2288,21.8328,22.0627
118,178,0.1788,22.4474,22.6274
118,179,0.1922,21.8613,22.0545
118,180,0.1855,22.0523,22.2389
118,181,0.1756,22.1017,22.2783
118,182,0.1864,21.8982,22.0857
118,183,0.198,22.5694,22.7684
118,184,0.1711,22.282,22.4541
118,185,0.2023,22.9319,23.1351
118,186,0.2176,22.2391,22.4578
118,187,0.2115,21.6129,21.8255
118,188,0.1994,21.8244,22.0249
118,189,0.1787,21.2954,21.4753
118,190,0.1904,21.6303,21.8218
118,191,0.2061,22.3242,22.5314
