scorest,violation_sum_st,grid_loss_sum_st,pf_fail_sum_st,stage
-4.109055474113477,0.0,-4.109055474113477,0.0,3
-3.8977173210390617,0.0,-3.8977173210390617,0.0,3
-3.6924239688348575,0.0,-3.6924239688348575,0.0,3
-3.909431816393349,0.0,-3.909431816393349,0.0,3
-4.577428777517746,0.0,-4.577428777517746,0.0,3
-3.571780440847806,0.0,-3.571780440847806,0.0,3
-4.699145623522859,0.0,-4.699145623522859,0.0,3
-4.279418827100856,0.0,-4.279418827100856,0.0,3
-4.103035830871535,0.0,-4.103035830871535,0.0,3
-4.308875688222022,0.0,-4.308875688222022,0.0,3
-3.828758441169346,0.0,-3.828758441169346,0.0,3
-3.686469185870962,0.0,-3.686469185870962,0.0,3
-4.339216887870987,0.0,-4.339216887870987,0.0,3
-6.691209121335184,0.0,-6.691209121335184,0.0,3
-3.6393112698131236,0.0,-3.6393112698131236,0.0,3
-6.303743397446144,0.0,-6.303743397446144,0.0,3
-4.072243905748859,0.0,-4.072243905748859,0.0,3
-4.362790889512062,0.0,-4.362790889512062,0.0,3
-4.9800764293596504,0.0,-4.9800764293596504,0.0,3
-5.444276158532958,0.0,-5.444276158532958,0.0,3
-4.125099380001026,0.0,-4.125099380001026,0.0,3
-5.292444204318132,0.0,-5.292444204318132,0.0,3
-3.9647216573483473,0.0,-3.9647216573483473,0.0,3
-4.607414269395921,0.0,-4.607414269395921,0.0,3
-4.157401794776197,0.0,-4.157401794776197,0.0,3
-3.9716691007763063,0.0,-3.9716691007763063,0.0,3
-3.731966897782808,0.0,-3.731966897782808,0.0,3
-6.547420977377689,0.0,-6.547420977377689,0.0,3
-4.841688762176602,0.0,-4.841688762176602,0.0,3
-5.8482263878713185,0.0,-5.8482263878713185,0.0,3
-6.13525333019905,0.0,-6.13525333019905,0.0,3
-3.4188054362800044,0.0,-3.4188054362800044,0.0,3
-4.21570944074521,0.0,-4.21570944074521,0.0,3
-4.041499387921194,0.0,-4.041499387921194,0.0,3
-3.65877457584629,0.0,-3.65877457584629,0.0,3
-5.633629571604337,0.0,-5.633629571604337,0.0,3
-4.011008919754912,0.0,-4.011008919754912,0.0,3
-5.491046046092493,0.0,-5.491046046092493,0.0,3
-5.216897508735662,0.0,-5.216897508735662,0.0,3
-3.6300395101323373,0.0,-3.6300395101323373,0.0,3
-5.040010862474622,0.0,-5.040010862474622,0.0,3
-4.556294364158625,0.0,-4.556294364158625,0.0,3
-4.36847843628198,0.0,-4.36847843628198,0.0,3
-5.724394983533906,0.0,-5.724394983533906,0.0,3
-6.392040715412052,0.0,-6.392040715412052,0.0,3
-5.525307315944303,0.0,-5.525307315944303,0.0,3
-4.672208169820244,0.0,-4.672208169820244,0.0,3
-3.836237427610246,0.0,-3.836237427610246,0.0,3
-4.427262147032183,0.0,-4.427262147032183,0.0,3
-3.7257284861620534,0.0,-3.7257284861620534,0.0,3
-3.6014385884324165,0.0,-3.6014385884324165,0.0,3
-4.290257668308481,0.0,-4.290257668308481,0.0,3
-3.5604289230928066,0.0,-3.5604289230928066,0.0,3
-6.017330491832993,0.0,-6.017330491832993,0.0,3
-5.8824426290149,0.0,-5.8824426290149,0.0,3
-6.050944396876468,0.0,-6.050944396876468,0.0,3
-4.0106241677679035,0.0,-4.0106241677679035,0.0,3
-5.337671309072479,0.0,-5.337671309072479,0.0,3
-3.9760575221318892,0.0,-3.9760575221318892,0.0,3
-5.482559007021754,0.0,-5.482559007021754,0.0,3
-4.37548916159085,0.0,-4.37548916159085,0.0,3
-3.8788433804648763,0.0,-3.8788433804648763,0.0,3
-5.531771863863372,0.0,-5.531771863863372,0.0,3
-3.696084194743136,0.0,-3.696084194743136,0.0,3
-3.7251201799748963,0.0,-3.7251201799748963,0.0,3
-4.429656216624005,0.0,-4.429656216624005,0.0,3
-3.9316732448103657,0.0,-3.9316732448103657,0.0,3
-5.369503602748482,0.0,-5.369503602748482,0.0,3
-5.173600240854195,0.0,-5.173600240854195,0.0,3
-3.751104040658429,0.0,-3.751104040658429,0.0,3
-6.066655003436148,0.0,-6.066655003436148,0.0,3
-3.507644512653049,0.0,-3.507644512653049,0.0,3
-4.225876850552178,0.0,-4.225876850552178,0.0,3
-5.626414809291971,0.0,-5.626414809291971,0.0,3
-4.120121755389132,0.0,-4.120121755389132,0.0,3
-5.025412539443139,0.0,-5.025412539443139,0.0,3
