day,event,under_steps,over_steps,pf_fail,solver_failures,minimum_voltage_pu,maximum_voltage_pu,line_loss_mwh,absolute_reactive_throughput_mvarh,maximum_absolute_reactive_command_mvar,mean_online_optimisation_ms,p95_online_optimisation_ms
102,0,0,0,0,0,0.9529247505308185,1.0072390594941691,1.4614760740360024,1.817372365060042,0.17567024643475104,0.7249041668349795,1.4230750011847704
103,0,0,0,0,0,0.9529336211389358,1.006984566520022,1.221747165554107,0.7469213482994262,0.13211860646003673,0.39358541668358765,1.4998750002632733
104,0,0,0,0,0,0.9527802059915851,1.0019143347158732,1.6893592912709112,10.674225030769836,0.5332837605571269,0.7639385417708885,1.6317250001520733
106,0,0,0,0,0,0.9527973082023463,1.0103816275931816,1.745902348322927,7.831758665014361,0.46622886874714964,0.8833458333583621,1.6513250002390123
107,0,0,0,0,0,0.9527803859227351,1.0103342561968227,1.7501007911059603,8.147718738593847,0.4638909244807532,0.8861510417167059,1.6013999993447214
108,0,0,0,0,0,0.9527946457438773,1.010180153159025,1.7226909564160044,7.494761972426632,0.4601102857535876,0.9061218751564107,1.6251999986707233
109,0,0,0,0,0,0.9529174769065912,1.0111664725106464,1.4600324507223397,1.013592330341871,0.15619043165448548,0.5040739583440276,1.3436250010272488
110,0,0,0,0,0,0.9529561730676779,1.0116900773065145,1.256437217811117,0.729458810735144,0.11333233853467568,0.3841947916119655,1.2911750009152456
111,0,0,0,0,0,0.9527754185990133,1.0046414432796948,1.6670142663105099,9.964470593410878,0.4985435368064166,0.8004395832964898,1.7254249996767612
112,0,0,0,0,0,0.9527667693351873,1.0039644930277303,1.7026126990801487,10.68717540066729,0.5049564575178017,0.8608729168220938,1.848600001721934
113,0,0,0,0,0,0.9527573198131443,1.0035987058229037,1.749188263102708,12.003653746799255,0.5710079358056618,0.8623218750472006,1.5466249978999258
114,0,0,0,0,0,0.9527630545607578,1.0037426661632305,1.7524820411212916,11.984271686865663,0.562334450550775,0.873285416711648,1.56554999830405
115,0,0,0,0,0,0.9527818190668753,1.009421466591663,1.7174971633023957,7.861101689285392,0.4837150521467771,0.8915812500542112,1.517399998192559
