pair_id,scenario_index,delta_daily_loss_mwh,delta_mean_ext_grid_q_mvar,delta_mean_branch_abs_q_flow_mvar,delta_mean_line_current_squared_ka2,delta_mean_pv_absorption_mvar,delta_mean_svc_q_mvar,delta_worst_vmin,delta_worst_vmax
0,108,-0.029411153553028813,-0.23652275698631114,-1.041777720774002,-0.0010555592480108733,0.0035000103795570295,0.02497270082434011,0.0014404475623776003,0.0
0,109,-0.031788199764158254,-0.24901717155473663,-1.0005194856498942,-0.0012460814673902615,0.00023022638629825384,0.02050170799096429,0.001504768332837525,0.0016230419772689242
0,110,-0.034580482057956496,-0.24980381815072378,-1.0094229746681487,-0.001327049755142834,8.283344546615098e-05,0.01858220839252067,0.0011384496386221965,0.0022405613820923875
0,111,-0.0329055844854933,-0.24863223111068294,-1.0284658909168964,-0.0012772434431779778,0.00023600895380709516,0.019507377718885777,0.0014268047842934672,0.001662536032385864
0,112,-0.0422163568113032,-0.2756906546802777,-1.18992651299018,-0.0016231290682405738,-0.00017560832769938917,0.0283392621204257,0.003112038255014493,0.001635077143676611
0,113,-0.045617486545558306,-0.2814831860545209,-1.241306167860115,-0.001699307608152293,0.00046021569135759263,0.030142689744631468,0.003862256067808656,0.0016087828428792417
0,114,-0.03528691121510885,-0.24805913141621028,-1.0246254459214832,-0.0013545771992323555,5.4525855650671556e-05,0.015062113913396957,0.0011302565268638265,0.0016535009065348216
0,115,-0.03366381581711719,-0.2502342169633565,-1.0078536357663408,-0.0013093020213019585,0.00013289466962303556,0.01856066007167101,0.001005093926555567,0.0016507972027077766
0,116,-0.035150597360903424,-0.24983037041061823,-1.0031520279240853,-0.0013475633851399924,0.0001399311563583458,0.017917203406492832,0.0009464783479756766,0.002333473606673797
0,117,-0.03331770546979618,-0.25150979620181574,-1.0008253241475753,-0.0013072042030898151,4.635597990410717e-05,0.01928669710954034,0.0011680069760838796,0.001633990210804237
