seed,day,step,maximum_active_balance_residual_mw,maximum_reactive_balance_residual_mvar
43,77,23,5.241232916425309e-09,1.6623102339075047e-08
43,77,24,4.936691923307368e-09,1.7481885661307928e-08
43,77,25,4.7093283266075314e-09,1.7884654313071735e-08
43,77,26,4.638891137540013e-09,1.7408979396948965e-08
43,77,27,4.489780595917647e-09,1.653878645146989e-08
43,77,28,4.517734138176355e-09,1.6476414538280082e-08
43,77,29,4.424173553549404e-09,1.5894012356243437e-08
43,77,30,4.09746077345563e-09,1.4327722897000683e-08
43,77,31,3.8661191349015356e-09,1.3244142865742603e-08
43,77,32,3.4935987609785446e-09,1.1668012250831694e-08
43,77,33,3.349406776237407e-09,1.1021668300248422e-08
43,77,34,3.2614873822500723e-09,1.0655368531953258e-08
43,77,35,3.1796712051529452e-09,1.0356915602915961e-08
43,77,36,2.9954288702227494e-09,9.722344179730058e-09
43,77,37,2.9670985113305903e-09,9.636108438959567e-09
43,77,38,2.9426215370637054e-09,9.568361103440282e-09
43,77,39,2.7080774168269928e-09,8.793299838272262e-09
43,77,40,2.5791584146173108e-09,8.379654331536202e-09
43,77,41,2.5398512026181264e-09,8.26459956027037e-09
43,77,42,2.530339288792094e-09,8.243499355353734e-09
43,77,43,2.481398923143141e-09,8.098028775327393e-09
43,77,44,2.2613061943788093e-09,7.362152137924127e-09
43,77,45,2.134415743107465e-09,6.925503365229346e-09
43,77,46,2.0942475965207707e-09,6.78612555038427e-09
43,77,47,1.978356489046318e-09,6.3901656188747324e-09
43,77,48,2.0505270224846495e-09,6.618355863352576e-09
43,77,49,1.9840054599207235e-09,6.3956569207324065e-09
43,77,50,1.9012703564302846e-09,6.099279276083891e-09
43,77,51,1.8367322246470863e-09,5.85846357537001e-09
43,77,52,1.9727993717799652e-09,6.300556049110284e-09
43,77,53,2.0431708061541265e-09,6.536899632703097e-09
43,77,54,2.0567430918105867e-09,6.569400162748096e-09
43,77,55,2.0811109953389195e-09,6.626422049960112e-09
43,77,56,2.2772089422473663e-09,7.262560691723152e-09
43,77,57,2.4415080721040816e-09,7.801022050557549e-09
43,77,58,2.51621739069674e-09,8.052759431498302e-09
43,77,59,2.5735772454099637e-09,8.24878332306156e-09
43,77,60,2.9113528948743195e-09,9.448771765008246e-09
43,77,61,3.0345606149423388e-09,9.947856427494628e-09
43,77,62,3.269842868691697e-09,1.0887020174266127e-08
43,77,63,3.719394002857368e-09,1.2777486152470985e-08
43,77,64,4.36795737600304e-09,1.5649664342198832e-08
43,77,65,4.725940775870963e-09,1.7600656765370815e-08
43,77,66,5.538283317195469e-09,2.0237328618444295e-08
43,77,67,9.379089397493212e-09,2.473463794894215e-08
43,77,68,1.263517813814008e-08,2.7566559313019212e-08
43,77,69,1.497753775170363e-08,2.9466134393585364e-08
43,77,70,3.201932826518705e-08,5.4538571575557526e-08
43,77,71,1.1833724052751071e-08,3.9968417464564254e-09
43,77,72,1.9963893004015798e-08,5.495161894963907e-09
43,77,73,1.74493012747301e-08,5.0570916898529106e-09
43,77,74,1.1848771564598737e-08,4.0149436553171824e-09
43,77,75,4.384235158944039e-08,7.605661427045884e-08
43,77,76,2.290169739613268e-08,3.882389777720707e-08
43,77,77,1.5499833239812633e-08,2.9731861694859418e-08
43,77,78,1.1274694771551408e-08,2.434714554966355e-08
43,77,79,9.084524191932397e-09,2.1369539610072152e-08
43,77,80,8.390715795780768e-09,2.050216774129865e-08
43,77,81,7.051620754330856e-09,1.8406880186727648e-08
43,77,82,5.813583260627642e-09,1.6398441077258852e-08
43,77,83,5.2031884616859925e-09,1.5057884106273178e-08
43,77,84,4.981865787956341e-09,1.458277804067265e-08
43,77,85,4.34819071373771e-09,1.2993860293297743e-08
43,77,86,3.792186373946516e-09,1.1612766998014834e-08
43,77,87,3.2539037783663183e-09,1.0231247793424103e-08
43,77,88,2.642172990813263e-09,8.574989884824191e-09
43,77,89,2.283623004237234e-09,7.581897332187282e-09
43,77,90,1.958523482281649e-09,6.636141428040254e-09
43,77,91,9.479456947701637e-08,9.340220458176063e-08
43,77,92,8.781378116849703e-08,8.683583754831581e-08
43,77,93,8.245685459949692e-08,8.17551733256483e-08
43,77,94,7.899908342941242e-08,7.844897911835069e-08
43,77,95,7.428760304822868e-08,7.393253995124915e-08
43,85,0,2.887954594216202e-08,2.988109065737987e-08
43,85,1,2.795699263671153e-08,2.8717672545530704e-08
43,85,2,2.939575754253715e-08,3.0426319727605566e-08
43,85,3,2.948820391427548e-08,3.050917414537668e-08
43,85,4,2.9361712592518296e-08,3.036254594968035e-08
43,85,5,2.9666966626373803e-08,3.070801432580872e-08
43,85,6,2.8864221676867807e-08,2.9808248161455886e-08
43,85,7,3.070160204624722e-08,3.174906323955007e-08
43,85,8,3.258448342310233e-08,3.3616341862940935e-08
43,85,9,3.390296342276056e-08,3.491001474009714e-08
43,85,10,3.740348025228768e-08,3.836994409700534e-08
43,85,11,3.9676100226440636e-08,4.0574744675225816e-08
43,85,12,4.6851024960645193e-08,4.759321561853547e-08
43,85,13,4.705159495528577e-08,4.7701011335332666e-08
43,85,14,5.337400028893047e-08,5.388598532662936e-08
43,85,15,6.179065258592187e-08,6.198042211413846e-08
43,85,16,9.031783559758366e-08,8.868754453050798e-08
43,85,17,2.213175424176095e-09,7.4456756038454586e-09
43,85,18,3.0247127719151834e-09,9.731447175864716e-09
43,85,19,3.780761910140984e-09,1.1695761165109175e-08
43,85,20,4.690811974961129e-09,1.394016221900607e-08
43,85,21,5.304485375251522e-09,1.5571091915855817e-08
43,85,22,5.761390279787615e-09,1.7002334123938923e-08
43,85,23,5.712387854406309e-09,1.7444939243160817e-08
43,85,24,6.125396249251347e-09,1.8924209005399817e-08
43,85,25,5.752519164139991e-09,1.8986465455395063e-08
43,85,26,4.890434871299143e-09,1.8213204971972985e-08
43,85,27,4.577538799399594e-09,1.734797500096974e-08
43,85,28,4.4713383516581384e-09,1.6703148308927496e-08
43,85,29,4.430588092588228e-09,1.636567784069065e-08
