scorest,violation_sum_st,grid_loss_sum_st,pf_fail_sum_st
-6.9844312847045105,0.0,-6.9844312847045105,0.0
-6.910877335475277,0.0,-6.910877335475277,0.0
-6.496904937126843,0.0,-6.496904937126843,0.0
-5.908976577436196,0.0,-5.908976577436196,0.0
-4.890401331760238,0.0,-4.890401331760238,0.0
-4.285943714803122,0.0,-4.285943714803122,0.0
-4.833264606972843,0.0,-4.833264606972843,0.0
-5.286113665768349,0.0,-5.286113665768349,0.0
-4.850987661137936,0.0,-4.850987661137936,0.0
-4.1964658558277685,0.0,-4.1964658558277685,0.0
-6.839161831245509,0.0,-6.839161831245509,0.0
-6.7369308372274626,0.0,-6.7369308372274626,0.0
-4.3927525596558334,0.0,-4.3927525596558334,0.0
-3.8533002174109083,0.0,-3.8533002174109083,0.0
-5.899729150520746,0.0,-5.899729150520746,0.0
-4.890144758679594,0.0,-4.890144758679594,0.0
-6.481754192541038,0.0,-6.481754192541038,0.0
-4.882311990955361,0.0,-4.882311990955361,0.0
-6.364818557873478,0.0,-6.364818557873478,0.0
-4.548307615826589,0.0,-4.548307615826589,0.0
-6.791392347604454,0.0,-6.791392347604454,0.0
-4.113451187504303,0.0,-4.113451187504303,0.0
-4.8338424617096445,0.0,-4.8338424617096445,0.0
-4.805273903088529,0.0,-4.805273903088529,0.0
-5.697165044749839,0.0,-5.697165044749839,0.0
-4.11171370608851,0.0,-4.11171370608851,0.0
-7.755024020392818,0.0,-7.755024020392818,0.0
-4.904694947817664,0.0,-4.904694947817664,0.0
-7.595815503003849,0.0,-7.595815503003849,0.0
-3.7735679903578343,0.0,-3.7735679903578343,0.0
-4.7598721392210495,0.0,-4.7598721392210495,0.0
-5.602670497763059,0.0,-5.602670497763059,0.0
-4.516353213601868,0.0,-4.516353213601868,0.0
-4.628087484262136,0.0,-4.628087484262136,0.0
-7.683452530779194,0.0,-7.683452530779194,0.0
-4.436926323159296,0.0,-4.436926323159296,0.0
-5.4807290502895505,0.0,-5.4807290502895505,0.0
-5.044499303076402,0.0,-5.044499303076402,0.0
-6.459175801479963,0.0,-6.459175801479963,0.0
-4.8825467298158465,0.0,-4.8825467298158465,0.0
-4.864813497336966,0.0,-4.864813497336966,0.0
-6.55381944643299,0.0,-6.55381944643299,0.0
-6.012558051891419,0.0,-6.012558051891419,0.0
-5.449524521487067,0.0,-5.449524521487067,0.0
-7.408801344008796,0.0,-7.408801344008796,0.0
-6.482557056310763,0.0,-6.482557056310763,0.0
-5.683507641722208,0.0,-5.683507641722208,0.0
-4.054702742512806,0.0,-4.054702742512806,0.0
-7.089134462535581,0.0,-7.089134462535581,0.0
-4.834627849433986,0.0,-4.834627849433986,0.0
-4.389598166487015,0.0,-4.389598166487015,0.0
-7.553268321409656,0.0,-7.553268321409656,0.0
-5.159936940477087,0.0,-5.159936940477087,0.0
-5.1764647760540425,0.0,-5.1764647760540425,0.0
-6.912619580420143,0.0,-6.912619580420143,0.0
-5.392371710738335,0.0,-5.392371710738335,0.0
-5.006682326363384,0.0,-5.006682326363384,0.0
-4.344756486320227,0.0,-4.344756486320227,0.0
-4.125513018471342,0.0,-4.125513018471342,0.0
-6.682279303217223,0.0,-6.682279303217223,0.0
-5.15643846620016,0.0,-5.15643846620016,0.0
