candidate_id,risk,pf_fail_rate,mean_daily_loss_mwh,mean_intervention_rate,projection_failure_steps,worst_vmin,worst_vmax,raw_worst_vmin,raw_worst_vmax,seed,pv_s_scale,svc_q_scale,cap_total_mvar,selection_role,path_fraction,resource_index
2006,0.0,0.0,1.2144405434681302,0.0,0,0.9551900958596172,1.0305240199158874,0.9551900958596172,1.0305240199158874,44,1.0,1.0,0.375,risk_path,0.375,100.75
2007,0.0,0.0,1.3108810293928088,0.0,0,0.9567749483080052,1.02911589251748,0.9567749483080052,1.02911589251748,44,1.05,1.05,0.4375,risk_path,0.4375,105.875
2008,0.0,0.0,1.4145399186453167,0.0,0,0.9583096896408496,1.0276811150143976,0.9583096896408496,1.0276811150143976,44,1.1,1.1,0.5,risk_path,0.5,111.00000000000001
2009,0.0,0.0,1.5241349182967125,0.0,0,0.9598022189809066,1.028038910798075,0.9598022189809066,1.028038910798075,44,1.15,1.15,0.5625,risk_path,0.5625,116.12499999999999
2010,0.0,0.0,1.6390902869566926,0.0,0,0.96124968446006,1.02870846622948,0.96124968446006,1.02870846622948,44,1.2,1.2,0.625,risk_path,0.625,121.25
2011,0.0,0.0,1.7592795140784394,0.0,0,0.9626426411606236,1.0293966771562435,0.9626426411606236,1.0293966771562435,44,1.25,1.25,0.6875,risk_path,0.6875,126.375
2012,0.0,0.0,1.884597844576954,0.0,0,0.9639625924031344,1.0301645098282906,0.9639625924031344,1.0301645098282906,44,1.3,1.3,0.75,risk_path,0.75,131.5
2013,0.0,0.0,2.0149643074649846,0.0,0,0.965222072404155,1.0315335061420772,0.965222072404155,1.0315335061420772,44,1.35,1.35,0.8125,risk_path,0.8125,136.625
2014,0.0,0.0,2.1504703087269292,0.0,0,0.966405763157711,1.0328833144717238,0.966405763157711,1.0328833144717238,44,1.4,1.4,0.875,risk_path,0.875,141.75
2015,0.0,0.0,2.2914915198227903,0.0,0,0.9675571734270656,1.0342223501345078,0.9675571734270656,1.0342223501345078,44,1.45,1.45,0.9375,risk_path,0.9375,146.875
2016,0.0,0.0,2.4387078608390893,0.0,0,0.968668389400991,1.0355619089174564,0.968668389400991,1.0355619089174564,44,1.5,1.5,1.0,risk_path,1.0,152.0
