scores,violation_sum_s,grid_loss_sum_s,pf_fail_sum_s
-42.87525361487862,7.0,-8.513744496133345,0.0
-34.59816877033942,10.0,-6.251205900035289,0.0
-7.426486852557433,2.0,-4.040338232683889,0.0
-16.026369669722776,6.0,-7.427639998574173,0.0
-7.78580659546607,2.0,-5.974692386493074,0.0
-6.06001781547193,1.0,-5.746668390881904,0.0
-5.88072965757638,0.0,-5.88072965757638,0.0
-13.469408805974595,3.0,-5.814602369760382,0.0
-5.5139165733896185,0.0,-5.5139165733896185,0.0
-20.794908936711366,2.0,-7.358279212394139,0.0
-77.01588528068045,11.0,-9.480755131546688,0.0
-14.084727007706245,3.0,-5.99264737178515,0.0
-19.710797844324386,2.0,-6.0186051776174825,0.0
-5.26763171194424,2.0,-4.69599937616516,0.0
-12.000052137866414,1.0,-4.683365577547626,0.0
-9.336358916957096,5.0,-5.787668463237388,0.0
-37.50551257359969,6.0,-5.46815217264167,0.0
-10.364600680550922,3.0,-7.493788780238614,0.0
-13.261192463916018,1.0,-6.700734945264588,0.0
-6.6134010052291625,0.0,-6.6134010052291625,0.0
-31.382712964986258,3.0,-5.032060088077302,0.0
-9.256284636094394,2.0,-5.553870844451572,0.0
-28.304890435441195,4.0,-7.4429584932182955,0.0
-10.076162330295544,6.0,-5.747502373545543,0.0
-7.753412672053923,2.0,-5.585705312265993,0.0
-21.303674415003663,6.0,-5.107822259672171,0.0
-7.082550685669635,1.0,-6.411048665748358,0.0
-20.290428263098963,5.0,-7.672845680789376,0.0
-49.90274044525136,9.0,-7.005874366804596,0.0
-23.517216846863743,7.0,-6.927829471451161,0.0
-4.297605714683516,1.0,-3.8324172085794737,0.0
-7.851827767954184,5.0,-6.171945308891219,0.0
-19.305410064345143,5.0,-6.7526645237415615,0.0
-5.214110210922906,0.0,-5.214110210922906,0.0
-34.055045332384424,5.0,-6.017559178203761,0.0
-19.292538709897503,5.0,-7.125976303503564,0.0
-27.570600163596552,4.0,-7.150258271641293,0.0
-11.259435135633147,1.0,-5.149650776357738,0.0
-12.02789541610739,2.0,-5.221271853528526,0.0
-5.878155411595075,1.0,-5.14092045263462,0.0
-42.204183889098054,7.0,-7.156705234408914,0.0
-7.607710754832284,2.0,-5.514378175515718,0.0
-15.211350842068123,3.0,-6.673802969697169,0.0
-48.798056963917055,9.0,-6.423928856564489,0.0
-6.8842386930114685,2.0,-4.779095095914476,0.0
-31.292930454605997,8.0,-6.918767998170444,0.0
-4.666520754257915,0.0,-4.666520754257915,0.0
-6.047280625122873,1.0,-4.285618502064945,0.0
-19.322832034751404,4.0,-7.964415289972432,0.0
-7.361454430318063,1.0,-5.407563805289221,0.0
-5.987249064977038,1.0,-5.198835148998557,0.0
-7.876874108001723,2.0,-7.385446898024044,0.0
-21.05781416396021,7.0,-6.2519773517804325,0.0
-5.094409184638702,1.0,-5.068983717670881,0.0
-13.288971760136944,4.0,-5.137947537285114,0.0
-11.718579290100953,3.0,-4.563454352746157,0.0
-6.949567956141353,0.0,-6.949567956141353,0.0
-12.411672471234956,4.0,-6.5673229219556015,0.0
-5.186460688545302,2.0,-5.094646434182548,0.0
-12.236918674565143,3.0,-6.391373357857481,0.0
-9.245382536870038,4.0,-5.45301058984222,0.0
-21.15653514257454,5.0,-6.163410661780314,0.0
-13.878231035497484,5.0,-6.614927857650536,0.0
-21.0224378268077,6.0,-5.522608137533291,0.0
-7.070935498418068,2.0,-6.403171151382964,0.0
-3.8929359001644697,0.0,-3.8929359001644697,0.0
-7.155093915400235,2.0,-4.698889474481314,0.0
-5.493770798040249,0.0,-5.493770798040249,0.0
-11.877933585361436,4.0,-7.931842973399988,0.0
-9.841992574925703,1.0,-6.531694614763233,0.0
-10.96386475415511,4.0,-6.5117805716893224,0.0
-7.926218840860446,1.0,-5.312805045676573,0.0
-5.294893759887703,1.0,-4.602722574697322,0.0
-56.36958712522461,10.0,-8.90100551337289,0.0
-5.856009587303355,0.0,-5.856009587303355,0.0
-23.32495181876865,5.0,-6.268737048724002,0.0
-9.909841825039582,4.0,-6.467692381375704,0.0
-10.259533322860063,7.0,-6.7467608893699555,0.0
-11.257557281332776,2.0,-4.760138338580757,0.0
-3.8281663952250535,0.0,-3.8281663952250535,0.0
-4.450497038265124,0.0,-4.450497038265124,0.0
