scorest,violation_sum_st,grid_loss_sum_st,pf_fail_sum_st
-6.3803265447373505,0.0,-6.3803265447373505,0.0
-4.169021825318183,0.0,-4.169021825318183,0.0
-3.512722939392199,0.0,-3.512722939392199,0.0
-6.338680038076276,0.0,-6.338680038076276,0.0
-5.229577929237044,0.0,-5.229577929237044,0.0
-5.101304028658485,0.0,-5.101304028658485,0.0
-5.384411739939457,0.0,-5.384411739939457,0.0
-4.255548659860767,0.0,-4.255548659860767,0.0
-4.6691133363847905,0.0,-4.6691133363847905,0.0
-5.866129483024994,0.0,-5.866129483024994,0.0
-7.187245333746624,0.0,-7.187245333746624,0.0
-4.304708263752531,0.0,-4.304708263752531,0.0
-4.53432402394521,0.0,-4.53432402394521,0.0
-3.843170173669124,0.0,-3.843170173669124,0.0
-3.786164473721603,0.0,-3.786164473721603,0.0
-4.6164261902635335,0.0,-4.6164261902635335,0.0
-4.22048978173464,0.0,-4.22048978173464,0.0
-5.84239400935557,0.0,-5.84239400935557,0.0
-5.451290132416046,0.0,-5.451290132416046,0.0
-6.0335599677099765,0.0,-6.0335599677099765,0.0
-3.7472813537525296,0.0,-3.7472813537525296,0.0
-4.61403208338387,0.0,-4.61403208338387,0.0
-6.007506378728117,0.0,-6.007506378728117,0.0
-3.9954736445294774,0.0,-3.9954736445294774,0.0
-4.995386092451995,0.0,-4.995386092451995,0.0
-3.8107003399207167,0.0,-3.8107003399207167,0.0
-5.716180258481933,0.0,-5.716180258481933,0.0
-5.964181335832637,0.0,-5.964181335832637,0.0
-4.82357068799732,0.0,-4.82357068799732,0.0
-5.415306079877447,0.0,-5.415306079877447,0.0
-3.3044212536264572,0.0,-3.3044212536264572,0.0
-4.700181878815706,0.0,-4.700181878815706,0.0
-4.879760852621686,0.0,-4.879760852621686,0.0
-4.379365610552528,0.0,-4.379365610552528,0.0
-3.9237077445809914,0.0,-3.9237077445809914,0.0
-5.684994833168584,0.0,-5.684994833168584,0.0
-5.904782386421245,0.0,-5.904782386421245,0.0
-4.08978374584141,0.0,-4.08978374584141,0.0
-3.9740053037110785,0.0,-3.9740053037110785,0.0
-4.5170121707507835,0.0,-4.5170121707507835,0.0
-5.079996186350983,0.0,-5.079996186350983,0.0
-4.902526649363531,0.0,-4.902526649363531,0.0
-5.2898697037194555,0.0,-5.2898697037194555,0.0
-4.469503255307683,0.0,-4.469503255307683,0.0
-4.204313346123078,0.0,-4.204313346123078,0.0
-5.0565934151752945,0.0,-5.0565934151752945,0.0
-3.9830750513597786,0.0,-3.9830750513597786,0.0
-3.910080029512761,0.0,-3.910080029512761,0.0
-6.984148694273481,0.0,-6.984148694273481,0.0
-4.857482718018538,0.0,-4.857482718018538,0.0
-4.6284842089105815,0.0,-4.6284842089105815,0.0
-6.182125513334585,0.0,-6.182125513334585,0.0
-4.910013014501635,0.0,-4.910013014501635,0.0
-4.438451296180619,0.0,-4.438451296180619,0.0
