candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,scenario_index,day_index,t0
100,0.45,0.375,0.0,272,335,32160
100,0.45,0.375,0.0,273,336,32256
100,0.45,0.375,0.0,274,337,32352
100,0.45,0.375,0.0,275,338,32448
100,0.45,0.375,0.0,276,339,32544
100,0.45,0.375,0.0,277,340,32640
100,0.45,0.375,0.0,278,343,32928
100,0.45,0.375,0.0,279,344,33024
100,0.45,0.375,0.0,280,345,33120
100,0.45,0.375,0.0,281,346,33216
100,0.45,0.375,0.0,282,347,33312
100,0.45,0.375,0.0,283,348,33408
100,0.45,0.375,0.0,284,349,33504
100,0.45,0.375,0.0,285,351,33696
100,0.45,0.375,0.0,286,352,33792
100,0.45,0.375,0.0,287,353,33888
100,0.45,0.375,0.0,288,354,33984
100,0.45,0.375,0.0,289,355,34080
100,0.45,0.375,0.0,290,356,34176
100,0.45,0.375,0.0,291,357,34272
100,0.45,0.375,0.0,292,358,34368
100,0.45,0.375,0.0,293,359,34464
100,0.45,0.375,0.0,294,360,34560
100,0.45,0.375,0.0,295,361,34656
100,0.45,0.375,0.0,296,362,34752
100,0.45,0.375,0.0,297,363,34848
100,0.45,0.375,0.0,298,364,34944
101,0.45,0.375,0.25,0,2,192
101,0.45,0.375,0.25,1,3,288
101,0.45,0.375,0.25,2,4,384
101,0.45,0.375,0.25,3,5,480
101,0.45,0.375,0.25,4,6,576
101,0.45,0.375,0.25,5,7,672
101,0.45,0.375,0.25,6,8,768
101,0.45,0.375,0.25,7,10,960
101,0.45,0.375,0.25,8,11,1056
101,0.45,0.375,0.25,9,12,1152
101,0.45,0.375,0.25,10,13,1248
101,0.45,0.375,0.25,11,14,1344
101,0.45,0.375,0.25,12,16,1536
101,0.45,0.375,0.25,13,17,1632
101,0.45,0.375,0.25,14,18,1728
101,0.45,0.375,0.25,15,19,1824
101,0.45,0.375,0.25,16,20,1920
101,0.45,0.375,0.25,17,21,2016
101,0.45,0.375,0.25,18,22,2112
101,0.45,0.375,0.25,19,23,2208
101,0.45,0.375,0.25,20,24,2304
101,0.45,0.375,0.25,21,25,2400
101,0.45,0.375,0.25,22,26,2496
101,0.45,0.375,0.25,23,27,2592
101,0.45,0.375,0.25,24,28,2688
101,0.45,0.375,0.25,25,29,2784
101,0.45,0.375,0.25,26,30,2880
101,0.45,0.375,0.25,27,31,2976
101,0.45,0.375,0.25,28,32,3072
101,0.45,0.375,0.25,29,33,3168
101,0.45,0.375,0.25,30,34,3264
101,0.45,0.375,0.25,31,35,3360
101,0.45,0.375,0.25,32,36,3456
101,0.45,0.375,0.25,33,37,3552
101,0.45,0.375,0.25,34,40,3840
101,0.45,0.375,0.25,35,42,4032
101,0.45,0.375,0.25,36,43,4128
101,0.45,0.375,0.25,37,44,4224
101,0.45,0.375,0.25,38,45,4320
101,0.45,0.375,0.25,39,46,4416
101,0.45,0.375,0.25,40,47,4512
101,0.45,0.375,0.25,41,48,4608
101,0.45,0.375,0.25,42,50,4800
101,0.45,0.375,0.25,43,52,4992
101,0.45,0.375,0.25,44,53,5088
101,0.45,0.375,0.25,45,54,5184
101,0.45,0.375,0.25,46,55,5280
101,0.45,0.375,0.25,47,58,5568
101,0.45,0.375,0.25,48,59,5664
101,0.45,0.375,0.25,49,61,5856
101,0.45,0.375,0.25,50,62,5952
101,0.45,0.375,0.25,51,63,6048
101,0.45,0.375,0.25,52,64,6144
101,0.45,0.375,0.25,53,65,6240
101,0.45,0.375,0.25,54,66,6336
101,0.45,0.375,0.25,55,67,6432
101,0.45,0.375,0.25,56,68,6528
101,0.45,0.375,0.25,57,69,6624
101,0.45,0.375,0.25,58,70,6720
101,0.45,0.375,0.25,59,73,7008
101,0.45,0.375,0.25,60,74,7104
101,0.45,0.375,0.25,61,75,7200
101,0.45,0.375,0.25,62,76,7296
101,0.45,0.375,0.25,63,77,7392
