candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,pv_nameplate_mva,svc_nameplate_mvar
261,0.9,1.3125,0.25,12.074767078498866,2.625
262,0.9,1.3125,0.5,12.074767078498866,2.625
263,0.9,1.3125,0.75,12.074767078498866,2.625
264,0.9,1.3125,1.0,12.074767078498866,2.625
265,0.9,1.5,0.0,12.074767078498866,3.0
266,0.9,1.5,0.25,12.074767078498866,3.0
267,0.9,1.5,0.5,12.074767078498866,3.0
268,0.9,1.5,0.75,12.074767078498866,3.0
269,0.9,1.5,1.0,12.074767078498866,3.0
270,1.05,0.0,0.0,14.087228258248677,0.0
271,1.05,0.0,0.25,14.087228258248677,0.0
272,1.05,0.0,0.5,14.087228258248677,0.0
273,1.05,0.0,0.75,14.087228258248677,0.0
274,1.05,0.0,1.0,14.087228258248677,0.0
275,1.05,0.1875,0.0,14.087228258248677,0.375
276,1.05,0.1875,0.25,14.087228258248677,0.375
277,1.05,0.1875,0.5,14.087228258248677,0.375
278,1.05,0.1875,0.75,14.087228258248677,0.375
279,1.05,0.1875,1.0,14.087228258248677,0.375
280,1.05,0.375,0.0,14.087228258248677,0.75
281,1.05,0.375,0.25,14.087228258248677,0.75
282,1.05,0.375,0.5,14.087228258248677,0.75
283,1.05,0.375,0.75,14.087228258248677,0.75
284,1.05,0.375,1.0,14.087228258248677,0.75
285,1.05,0.5625,0.0,14.087228258248677,1.125
286,1.05,0.5625,0.25,14.087228258248677,1.125
287,1.05,0.5625,0.5,14.087228258248677,1.125
288,1.05,0.5625,0.75,14.087228258248677,1.125
289,1.05,0.5625,1.0,14.087228258248677,1.125
290,1.05,0.75,0.0,14.087228258248677,1.5
291,1.05,0.75,0.25,14.087228258248677,1.5
292,1.05,0.75,0.5,14.087228258248677,1.5
293,1.05,0.75,0.75,14.087228258248677,1.5
294,1.05,0.75,1.0,14.087228258248677,1.5
295,1.05,0.9375,0.0,14.087228258248677,1.875
296,1.05,0.9375,0.25,14.087228258248677,1.875
297,1.05,0.9375,0.5,14.087228258248677,1.875
298,1.05,0.9375,0.75,14.087228258248677,1.875
299,1.05,0.9375,1.0,14.087228258248677,1.875
300,1.05,1.125,0.0,14.087228258248677,2.25
301,1.05,1.125,0.25,14.087228258248677,2.25
302,1.05,1.125,0.5,14.087228258248677,2.25
303,1.05,1.125,0.75,14.087228258248677,2.25
304,1.05,1.125,1.0,14.087228258248677,2.25
305,1.05,1.3125,0.0,14.087228258248677,2.625
306,1.05,1.3125,0.25,14.087228258248677,2.625
307,1.05,1.3125,0.5,14.087228258248677,2.625
308,1.05,1.3125,0.75,14.087228258248677,2.625
309,1.05,1.3125,1.0,14.087228258248677,2.625
310,1.05,1.5,0.0,14.087228258248677,3.0
311,1.05,1.5,0.25,14.087228258248677,3.0
312,1.05,1.5,0.5,14.087228258248677,3.0
313,1.05,1.5,0.75,14.087228258248677,3.0
314,1.05,1.5,1.0,14.087228258248677,3.0
315,1.2,0.0,0.0,16.099689437998485,0.0
316,1.2,0.0,0.25,16.099689437998485,0.0
317,1.2,0.0,0.5,16.099689437998485,0.0
318,1.2,0.0,0.75,16.099689437998485,0.0
319,1.2,0.0,1.0,16.099689437998485,0.0
320,1.2,0.1875,0.0,16.099689437998485,0.375
321,1.2,0.1875,0.25,16.099689437998485,0.375
322,1.2,0.1875,0.5,16.099689437998485,0.375
323,1.2,0.1875,0.75,16.099689437998485,0.375
