candidate_id,worst_seed_risk,mean_seed_risk,worst_seed_pf_fail_rate,mean_daily_loss_mwh,maximum_seed_loss_mwh,mean_intervention_rate,projection_failure_steps,worst_vmin,worst_vmax,raw_worst_vmin,raw_worst_vmax,pv_s_scale,svc_q_scale,cap_total_mvar,selection_role,resource_index,path_fraction,robust_feasible,display_role,highlight
440,0.0,0.0,0.0,0.8835487978162303,0.9099451999432968,0.0008333333333333,0,0.9505000004852276,1.0352355153092416,0.9450309668989264,1.0352355153092416,0.7842105263157895,0.7,0.25,optimiser_candidate,74.71052631578948,,1,Optimiser candidate,
800,0.0,0.0,0.0,0.8869083406062304,0.9219910741226948,0.0005381944444444,0,0.9505000003607638,1.0382571147204296,0.9457282442406146,1.0382571147204296,0.7,0.7,0.5,optimiser_candidate,71.0,,1,Optimiser candidate,
801,0.0,0.0,0.0,0.9104699069381748,0.9523582275633978,0.0002430555555555,0,0.9505000003652588,1.0383417015523035,0.9468910959658232,1.0383417015523035,0.7,0.7421052631578947,0.5,optimiser_candidate,73.10526315789474,,1,Optimiser candidate,
820,0.0,0.0,0.0,0.8966265649000148,0.92821638528161,0.0004687499999999,0,0.9505000003353512,1.0371425046694351,0.9459507889446503,1.0371425046694351,0.7421052631578947,0.7,0.5,optimiser_candidate,73.10526315789474,,1,Optimiser candidate,
1200,0.0,0.0,0.0,0.935216298191708,0.9712134139203428,0.0002083333333333,0,0.9505000005818136,1.0393484477067931,0.9469047425323056,1.0393484477067931,0.7,0.7,0.75,optimiser_candidate,71.5,,1,Optimiser candidate,
1201,0.0,0.0,0.0,0.9616952269940618,1.0032930015590649,0.0001041666666666,0,0.9505000006282373,1.0394575643971975,0.9480610962002406,1.0394575643971975,0.7,0.7421052631578947,0.75,optimiser_candidate,73.60526315789474,,1,Optimiser candidate,
1220,0.0,0.0,0.0,0.9454535541523686,0.9872978595239268,0.0001909722222222,0,0.9505000004444072,1.0381333729729996,0.9471195155565816,1.0381333729729996,0.7421052631578947,0.7,0.75,optimiser_candidate,73.60526315789474,,1,Optimiser candidate,
1600,0.0,0.0,0.0,1.0082029203360403,1.0641419542968018,0.0001215277777777,0,0.95050000060269,1.0406612269488689,0.9480145564872255,1.0406612269488689,0.7,0.7,1.0,optimiser_candidate,72.0,,1,Optimiser candidate,
1601,0.0,0.0,0.0,1.037546217930501,1.092153882149806,5.2083333333333e-05,0,0.9505000005439288,1.0407492049767093,0.9491967363381308,1.0407492049767093,0.7,0.7421052631578947,1.0,optimiser_candidate,74.10526315789474,,1,Optimiser candidate,
1620,0.0,0.0,0.0,1.018413905259555,1.081023327744245,8.680555555555499e-05,0,0.9505000005872838,1.039362622526051,0.948219377490436,1.039362622526051,0.7421052631578947,0.7,1.0,optimiser_candidate,74.10526315789474,,1,Optimiser candidate,
