panel,candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,mean_daily_loss_mwh,resource_index,delta_loss_mwh,delta_intervention,best_loss_mwh,comparator_loss_mwh,saving_pct,best_pv_scale,best_svc_scale,best_cap_mvar,comparator_pv_scale,comparator_svc_scale,comparator_cap_mvar
a_refine_cap0_loss,64.0,0.8263157894736841,0.8684210526315789,0.0,0.99084541867279,84.73684210526315,,,,,,,,,,,
a_refine_cap0_loss,65.0,0.8263157894736841,0.9105263157894736,0.0,1.0218582200498942,86.84210526315789,,,,,,,,,,,
a_refine_cap0_loss,66.0,0.8263157894736841,0.9526315789473684,0.0,1.0558148548924515,88.94736842105263,,,,,,,,,,,
a_refine_cap0_loss,67.0,0.8263157894736841,0.9947368421052633,0.0,1.0926929121926727,91.05263157894736,,,,,,,,,,,
a_refine_cap0_loss,80.0,0.8684210526315789,0.7,0.0,0.90827950610079,78.42105263157895,,,,,,,,,,,
a_refine_cap0_loss,81.0,0.8684210526315789,0.7421052631578947,0.0,0.9272689069915788,80.52631578947367,,,,,,,,,,,
a_refine_cap0_loss,82.0,0.8684210526315789,0.7842105263157895,0.0,0.9494832616166274,82.63157894736841,,,,,,,,,,,
a_refine_cap0_loss,83.0,0.8684210526315789,0.8263157894736841,0.0,0.9748248234900782,84.73684210526315,,,,,,,,,,,
a_refine_cap0_loss,84.0,0.8684210526315789,0.8684210526315789,0.0,1.0032140868233543,86.84210526315789,,,,,,,,,,,
a_refine_cap0_loss,85.0,0.8684210526315789,0.9105263157894736,0.0,1.0345505151165684,88.94736842105263,,,,,,,,,,,
a_refine_cap0_loss,86.0,0.8684210526315789,0.9526315789473684,0.0,1.0687880475357616,91.05263157894736,,,,,,,,,,,
a_refine_cap0_loss,100.0,0.9105263157894736,0.7,0.0,0.9201985287381153,80.52631578947368,,,,,,,,,,,
a_refine_cap0_loss,101.0,0.9105263157894736,0.7421052631578947,0.0,0.9395937020867728,82.63157894736841,,,,,,,,,,,
a_refine_cap0_loss,102.0,0.9105263157894736,0.7842105263157895,0.0,0.9621912417042624,84.73684210526315,,,,,,,,,,,
a_refine_cap0_loss,103.0,0.9105263157894736,0.8263157894736841,0.0,0.987900321297225,86.84210526315789,,,,,,,,,,,
a_refine_cap0_loss,104.0,0.9105263157894736,0.8684210526315789,0.0,1.0166202092031424,88.94736842105263,,,,,,,,,,,
a_refine_cap0_loss,105.0,0.9105263157894736,0.9105263157894736,0.0,1.0482538270559345,91.05263157894736,,,,,,,,,,,
a_refine_cap0_loss,120.0,0.9526315789473684,0.7,0.0,0.9332000294621796,82.63157894736841,,,,,,,,,,,
a_refine_cap0_loss,121.0,0.9526315789473684,0.7421052631578947,0.0,0.9529958486877516,84.73684210526315,,,,,,,,,,,
a_refine_cap0_loss,122.0,0.9526315789473684,0.7842105263157895,0.0,0.9759636062243608,86.84210526315789,,,,,,,,,,,
a_refine_cap0_loss,123.0,0.9526315789473684,0.8263157894736841,0.0,1.0020299717261472,88.94736842105263,,,,,,,,,,,
a_refine_cap0_loss,124.0,0.9526315789473684,0.8684210526315789,0.0,1.031055565364312,91.05263157894736,,,,,,,,,,,
a_refine_cap0_loss,140.0,0.9947368421052633,0.7,0.0,0.9472665381485792,84.73684210526315,,,,,,,,,,,
a_refine_cap0_loss,141.0,0.9947368421052633,0.7421052631578947,0.0,0.9674560357986106,86.84210526315789,,,,,,,,,,,
a_refine_cap0_loss,142.0,0.9947368421052633,0.7842105263157895,0.0,0.9907885979140846,88.94736842105263,,,,,,,,,,,
a_refine_cap0_loss,143.0,0.9947368421052633,0.8263157894736841,0.0,1.0171773118705218,91.05263157894736,,,,,,,,,,,
a_refine_cap0_loss,160.0,1.0368421052631578,0.7,0.0,0.9623460956838784,86.84210526315789,,,,,,,,,,,
a_refine_cap0_loss,161.0,1.0368421052631578,0.7421052631578947,0.0,0.9829215977449004,88.94736842105263,,,,,,,,,,,
a_refine_cap0_loss,162.0,1.0368421052631578,0.7842105263157895,0.0,1.0066063270649623,91.05263157894736,,,,,,,,,,,
a_refine_cap0_loss,180.0,1.0789473684210529,0.7,0.0,0.9783958547356496,88.94736842105263,,,,,,,,,,,
a_refine_cap0_loss,181.0,1.0789473684210529,0.7421052631578947,0.0,0.9993419134453349,91.05263157894736,,,,,,,,,,,
a_refine_cap0_loss,200.0,1.1210526315789473,0.7,0.0,0.9953844906753756,91.05263157894736,,,,,,,,,,,
b_refine_cap_increment,,0.7,0.7,,,,-0.004314396882603377,-0.0015046296296296,,,,,,,,,
b_refine_cap_increment,,0.7,0.7421052631578947,,,,-0.0011721815800966873,-0.0005787037037036999,,,,,,,,,
b_refine_cap_increment,,0.7,0.7842105263157895,,,,0.0019576676555616013,-0.00046296296296290004,,,,,,,,,
b_refine_cap_increment,,0.7,0.8263157894736841,,,,0.005047179062036222,-0.00034722222222229997,,,,,,,,,
b_refine_cap_increment,,0.7,0.8684210526315789,,,,0.008077217630411582,-0.0003472222222222,,,,,,,,,
b_refine_cap_increment,,0.7,0.9105263157894736,,,,0.011052964109459551,-0.0001157407407407,,,,,,,,,
b_refine_cap_increment,,0.7,0.9526315789473684,,,,0.013987976266319535,0.0,,,,,,,,,
b_refine_cap_increment,,0.7,0.9947368421052633,,,,0.016889797966228803,0.0,,,,,,,,,
b_refine_cap_increment,,0.7,1.0368421052631578,,,,0.019782928920329734,0.0,,,,,,,,,
b_refine_cap_increment,,0.7,1.0789473684210529,,,,0.02265098323905379,0.0,,,,,,,,,
b_refine_cap_increment,,0.7,1.1210526315789473,,,,0.025461117995396965,0.0,,,,,,,,,
b_refine_cap_increment,,0.7421052631578947,0.7,,,,-0.003035545873118606,-0.0015046296296295997,,,,,,,,,
b_refine_cap_increment,,0.7421052631578947,0.7421052631578947,,,,5.678838139966391e-05,-0.00046296296296299995,,,,,,,,,
b_refine_cap_increment,,0.7421052631578947,0.7842105263157895,,,,0.003110619672835213,-0.0003472222222222,,,,,,,,,
b_refine_cap_increment,,0.7421052631578947,0.8263157894736841,,,,0.0061010787290072255,-0.00034722222222219996,,,,,,,,,
b_refine_cap_increment,,0.7421052631578947,0.8684210526315789,,,,0.009044904968040779,-0.0002314814814814,,,,,,,,,
b_refine_cap_increment,,0.7421052631578947,0.9105263157894736,,,,0.011938425931424024,0.0,,,,,,,,,
