episode,method,rolling_mean,seed_min,seed_max,seed_42,seed_43,seed_44
192,WG-CVaR-PPO,-7.236681794747625,-7.301281772123328,-7.175454755825847,-7.2333088562937,-7.301281772123328,-7.175454755825847
193,WG-CVaR-PPO,-7.284024524194709,-7.365964711371215,-7.212107968772268,-7.212107968772268,-7.274000892440641,-7.365964711371215
194,WG-CVaR-PPO,-7.189714152866166,-7.409770462638362,-7.067229453656762,-7.0921425423033755,-7.067229453656762,-7.409770462638362
195,WG-CVaR-PPO,-7.216982091784467,-7.439197808571968,-7.050580421081387,-7.161168045700048,-7.050580421081387,-7.439197808571968
196,WG-CVaR-PPO,-7.265080829645349,-7.404103439795032,-7.083675206971467,-7.30746384216955,-7.083675206971467,-7.404103439795032
197,WG-CVaR-PPO,-7.2999144948966475,-7.3859781779080524,-7.2003487395216075,-7.3134165672602816,-7.2003487395216075,-7.3859781779080524
198,WG-CVaR-PPO,-7.341249226496572,-7.408370958437324,-7.250873378848906,-7.364503342203484,-7.250873378848906,-7.408370958437324
199,WG-CVaR-PPO,-7.262520905108166,-7.356891730255481,-7.090502453989142,-7.356891730255481,-7.090502453989142,-7.340168531079874
200,WG-CVaR-PPO,-7.282578550406278,-7.365121613234692,-7.143331507761457,-7.339282530222686,-7.143331507761457,-7.365121613234692
201,WG-CVaR-PPO,-7.194901029021501,-7.29108654602304,-7.0807131050807435,-7.29108654602304,-7.0807131050807435,-7.212903435960719
202,WG-CVaR-PPO,-7.230749415706971,-7.453409211932565,-7.023849095047084,-7.453409211932565,-7.023849095047084,-7.2149899401412645
203,WG-CVaR-PPO,-7.171087401134174,-7.29614309187314,-7.062623476899579,-7.29614309187314,-7.154495634629804,-7.062623476899579
204,WG-CVaR-PPO,-7.200966612554876,-7.3091244036677345,-7.145566493812638,-7.3091244036677345,-7.148208940184259,-7.145566493812638
205,WG-CVaR-PPO,-7.13276165253647,-7.27758913774406,-7.030013871523956,-7.27758913774406,-7.030013871523956,-7.090681948341394
206,WG-CVaR-PPO,-7.122409113289673,-7.1615667536640135,-7.055862745325822,-7.1615667536640135,-7.055862745325822,-7.149797840879184
207,WG-CVaR-PPO,-7.144008363100632,-7.24376935645574,-7.064512805113419,-7.24376935645574,-7.123742927732736,-7.064512805113419
208,WG-CVaR-PPO,-7.181124803359789,-7.254379895725712,-7.089759843860265,-7.19923467049339,-7.254379895725712,-7.089759843860265
209,WG-CVaR-PPO,-7.116023035949131,-7.199571876630001,-6.99599347427905,-7.199571876630001,-7.152503756938342,-6.99599347427905
210,WG-CVaR-PPO,-7.138632371046117,-7.219474145661963,-7.044486272829719,-7.1519366946466665,-7.219474145661963,-7.044486272829719
211,WG-CVaR-PPO,-7.078390273423335,-7.157790724013223,-6.938940086021412,-7.138440010235372,-7.157790724013223,-6.938940086021412
212,WG-CVaR-PPO,-7.162507233254407,-7.270838926827038,-6.975514229962776,-7.270838926827038,-7.241168542973407,-6.975514229962776
213,WG-CVaR-PPO,-7.135200265894084,-7.3607983300433855,-6.885396935380648,-7.3607983300433855,-7.1594055322582175,-6.885396935380648
214,WG-CVaR-PPO,-7.157631080104128,-7.286093401915578,-7.008359290169449,-7.286093401915578,-7.178440548227359,-7.008359290169449
215,WG-CVaR-PPO,-7.067364654012806,-7.171920141128795,-6.886246346076398,-7.171920141128795,-7.143927474833225,-6.886246346076398
216,WG-CVaR-PPO,-7.079382007212146,-7.147300297106762,-7.037803872471696,-7.147300297106762,-7.05304185205798,-7.037803872471696
217,WG-CVaR-PPO,-7.074768653450266,-7.12477959868394,-6.991418316886389,-7.12477959868394,-7.108108044780469,-6.991418316886389
218,WG-CVaR-PPO,-7.008548792191983,-7.158433184159357,-6.851064503069124,-7.016148689347468,-7.158433184159357,-6.851064503069124
219,WG-CVaR-PPO,-7.0475507121669,-7.1671911566002136,-6.892179349378102,-7.083281630522383,-7.1671911566002136,-6.892179349378102
